,country_name,year,time,time_unit,deaths
5730,Finland,2015,1,weekly,1084.0
5731,Finland,2015,2,weekly,1159.0
5732,Finland,2015,3,weekly,1151.0
5733,Finland,2015,4,weekly,1040.0
5734,Finland,2015,5,weekly,1062.0
5735,Finland,2015,6,weekly,1062.0
5736,Finland,2015,7,weekly,1093.0
5737,Finland,2015,8,weekly,1075.0
5738,Finland,2015,9,weekly,1126.0
5739,Finland,2015,10,weekly,1134.0
5740,Finland,2015,11,weekly,1047.0
5741,Finland,2015,12,weekly,1015.0
5742,Finland,2015,13,weekly,1012.0
5743,Finland,2015,14,weekly,1070.0
5744,Finland,2015,15,weekly,1075.0
5745,Finland,2015,16,weekly,1040.0
5746,Finland,2015,17,weekly,1075.0
5747,Finland,2015,18,weekly,1021.0
5748,Finland,2015,19,weekly,1009.0
5749,Finland,2015,20,weekly,926.0
5750,Finland,2015,21,weekly,939.0
5751,Finland,2015,22,weekly,947.0
5752,Finland,2015,23,weekly,907.0
5753,Finland,2015,24,weekly,927.0
5754,Finland,2015,25,weekly,987.0
5755,Finland,2015,26,weekly,924.0
5756,Finland,2015,27,weekly,1016.0
5757,Finland,2015,28,weekly,885.0
5758,Finland,2015,29,weekly,902.0
5759,Finland,2015,30,weekly,902.0
5760,Finland,2015,31,weekly,883.0
5761,Finland,2015,32,weekly,874.0
5762,Finland,2015,33,weekly,956.0
5763,Finland,2015,34,weekly,946.0
5764,Finland,2015,35,weekly,957.0
5765,Finland,2015,36,weekly,917.0
5766,Finland,2015,37,weekly,966.0
5767,Finland,2015,38,weekly,977.0
5768,Finland,2015,39,weekly,938.0
5769,Finland,2015,40,weekly,957.0
5770,Finland,2015,41,weekly,982.0
5771,Finland,2015,42,weekly,1025.0
5772,Finland,2015,43,weekly,1045.0
5773,Finland,2015,44,weekly,967.0
5774,Finland,2015,45,weekly,967.0
5775,Finland,2015,46,weekly,1005.0
5776,Finland,2015,47,weekly,1054.0
5777,Finland,2015,48,weekly,1069.0
5778,Finland,2015,49,weekly,1082.0
5779,Finland,2015,50,weekly,1060.0
5780,Finland,2015,51,weekly,1019.0
5781,Finland,2015,52,weekly,1106.0
5782,Finland,2015,53,weekly,1103.0
5783,Finland,2016,1,weekly,1184.0
5784,Finland,2016,2,weekly,1192.0
5785,Finland,2016,3,weekly,1249.0
5786,Finland,2016,4,weekly,1186.0
5787,Finland,2016,5,weekly,1183.0
5788,Finland,2016,6,weekly,1167.0
5789,Finland,2016,7,weekly,1047.0
5790,Finland,2016,8,weekly,1046.0
5791,Finland,2016,9,weekly,1075.0
5792,Finland,2016,10,weekly,1023.0
5793,Finland,2016,11,weekly,1041.0
5794,Finland,2016,12,weekly,1095.0
5795,Finland,2016,13,weekly,1097.0
5796,Finland,2016,14,weekly,980.0
5797,Finland,2016,15,weekly,1010.0
5798,Finland,2016,16,weekly,1060.0
5799,Finland,2016,17,weekly,968.0
5800,Finland,2016,18,weekly,976.0
5801,Finland,2016,19,weekly,947.0
5802,Finland,2016,20,weekly,963.0
5803,Finland,2016,21,weekly,1023.0
5804,Finland,2016,22,weekly,980.0
5805,Finland,2016,23,weekly,913.0
5806,Finland,2016,24,weekly,947.0
5807,Finland,2016,25,weekly,939.0
5808,Finland,2016,26,weekly,995.0
5809,Finland,2016,27,weekly,874.0
5810,Finland,2016,28,weekly,940.0
5811,Finland,2016,29,weekly,949.0
5812,Finland,2016,30,weekly,952.0
5813,Finland,2016,31,weekly,902.0
5814,Finland,2016,32,weekly,919.0
5815,Finland,2016,33,weekly,946.0
5816,Finland,2016,34,weekly,1006.0
5817,Finland,2016,35,weekly,991.0
5818,Finland,2016,36,weekly,991.0
5819,Finland,2016,37,weekly,922.0
5820,Finland,2016,38,weekly,1012.0
5821,Finland,2016,39,weekly,983.0
5822,Finland,2016,40,weekly,986.0
5823,Finland,2016,41,weekly,1074.0
5824,Finland,2016,42,weekly,994.0
5825,Finland,2016,43,weekly,1025.0
5826,Finland,2016,44,weekly,1040.0
5827,Finland,2016,45,weekly,1071.0
5828,Finland,2016,46,weekly,1006.0
5829,Finland,2016,47,weekly,1099.0
5830,Finland,2016,48,weekly,1044.0
5831,Finland,2016,49,weekly,1034.0
5832,Finland,2016,50,weekly,1069.0
5833,Finland,2016,51,weekly,1168.0
5834,Finland,2016,52,weekly,1321.0
5835,Finland,2017,1,weekly,1273.0
5836,Finland,2017,2,weekly,1335.0
5837,Finland,2017,3,weekly,1208.0
5838,Finland,2017,4,weekly,1145.0
5839,Finland,2017,5,weekly,1116.0
5840,Finland,2017,6,weekly,1106.0
5841,Finland,2017,7,weekly,1122.0
5842,Finland,2017,8,weekly,1124.0
5843,Finland,2017,9,weekly,1083.0
5844,Finland,2017,10,weekly,1048.0
5845,Finland,2017,11,weekly,1021.0
5846,Finland,2017,12,weekly,1065.0
5847,Finland,2017,13,weekly,985.0
5848,Finland,2017,14,weekly,1059.0
5849,Finland,2017,15,weekly,998.0
5850,Finland,2017,16,weekly,1055.0
5851,Finland,2017,17,weekly,1006.0
5852,Finland,2017,18,weekly,1079.0
5853,Finland,2017,19,weekly,1049.0
5854,Finland,2017,20,weekly,999.0
5855,Finland,2017,21,weekly,995.0
5856,Finland,2017,22,weekly,980.0
5857,Finland,2017,23,weekly,1014.0
5858,Finland,2017,24,weekly,1021.0
5859,Finland,2017,25,weekly,993.0
5860,Finland,2017,26,weekly,993.0
5861,Finland,2017,27,weekly,929.0
5862,Finland,2017,28,weekly,921.0
5863,Finland,2017,29,weekly,925.0
5864,Finland,2017,30,weekly,944.0
5865,Finland,2017,31,weekly,923.0
5866,Finland,2017,32,weekly,954.0
5867,Finland,2017,33,weekly,943.0
5868,Finland,2017,34,weekly,906.0
5869,Finland,2017,35,weekly,954.0
5870,Finland,2017,36,weekly,1001.0
5871,Finland,2017,37,weekly,1040.0
5872,Finland,2017,38,weekly,940.0
5873,Finland,2017,39,weekly,974.0
5874,Finland,2017,40,weekly,1030.0
5875,Finland,2017,41,weekly,964.0
5876,Finland,2017,42,weekly,1024.0
5877,Finland,2017,43,weekly,1024.0
5878,Finland,2017,44,weekly,1034.0
5879,Finland,2017,45,weekly,977.0
5880,Finland,2017,46,weekly,966.0
5881,Finland,2017,47,weekly,998.0
5882,Finland,2017,48,weekly,988.0
5883,Finland,2017,49,weekly,1014.0
5884,Finland,2017,50,weekly,1056.0
5885,Finland,2017,51,weekly,1112.0
5886,Finland,2017,52,weekly,1103.0
5887,Finland,2018,1,weekly,1072.0
5888,Finland,2018,2,weekly,1091.0
5889,Finland,2018,3,weekly,1083.0
5890,Finland,2018,4,weekly,1131.0
5891,Finland,2018,5,weekly,1186.0
5892,Finland,2018,6,weekly,1110.0
5893,Finland,2018,7,weekly,1143.0
5894,Finland,2018,8,weekly,1173.0
5895,Finland,2018,9,weekly,1247.0
5896,Finland,2018,10,weekly,1223.0
5897,Finland,2018,11,weekly,1251.0
5898,Finland,2018,12,weekly,1216.0
5899,Finland,2018,13,weekly,1154.0
5900,Finland,2018,14,weekly,1243.0
5901,Finland,2018,15,weekly,1096.0
5902,Finland,2018,16,weekly,1110.0
5903,Finland,2018,17,weekly,1027.0
5904,Finland,2018,18,weekly,1023.0
5905,Finland,2018,19,weekly,980.0
5906,Finland,2018,20,weekly,973.0
5907,Finland,2018,21,weekly,909.0
5908,Finland,2018,22,weekly,926.0
5909,Finland,2018,23,weekly,944.0
5910,Finland,2018,24,weekly,921.0
5911,Finland,2018,25,weekly,954.0
5912,Finland,2018,26,weekly,946.0
5913,Finland,2018,27,weekly,961.0
5914,Finland,2018,28,weekly,986.0
5915,Finland,2018,29,weekly,1060.0
5916,Finland,2018,30,weekly,1047.0
5917,Finland,2018,31,weekly,1063.0
5918,Finland,2018,32,weekly,919.0
5919,Finland,2018,33,weekly,984.0
5920,Finland,2018,34,weekly,943.0
5921,Finland,2018,35,weekly,947.0
5922,Finland,2018,36,weekly,941.0
5923,Finland,2018,37,weekly,907.0
5924,Finland,2018,38,weekly,997.0
5925,Finland,2018,39,weekly,1012.0
5926,Finland,2018,40,weekly,1059.0
5927,Finland,2018,41,weekly,1004.0
5928,Finland,2018,42,weekly,982.0
5929,Finland,2018,43,weekly,999.0
5930,Finland,2018,44,weekly,1021.0
5931,Finland,2018,45,weekly,1031.0
5932,Finland,2018,46,weekly,983.0
5933,Finland,2018,47,weekly,995.0
5934,Finland,2018,48,weekly,1038.0
5935,Finland,2018,49,weekly,1063.0
5936,Finland,2018,50,weekly,1065.0
5937,Finland,2018,51,weekly,1037.0
5938,Finland,2018,52,weekly,1193.0
5939,Finland,2019,1,weekly,1213.0
5940,Finland,2019,2,weekly,1125.0
5941,Finland,2019,3,weekly,1171.0
5942,Finland,2019,4,weekly,1134.0
5943,Finland,2019,5,weekly,1141.0
5944,Finland,2019,6,weekly,1170.0
5945,Finland,2019,7,weekly,1089.0
5946,Finland,2019,8,weekly,1058.0
5947,Finland,2019,9,weekly,1070.0
5948,Finland,2019,10,weekly,1085.0
5949,Finland,2019,11,weekly,1154.0
5950,Finland,2019,12,weekly,1047.0
5951,Finland,2019,13,weekly,1072.0
5952,Finland,2019,14,weekly,1033.0
5953,Finland,2019,15,weekly,1058.0
5954,Finland,2019,16,weekly,1024.0
5955,Finland,2019,17,weekly,1001.0
5956,Finland,2019,18,weekly,1090.0
5957,Finland,2019,19,weekly,972.0
5958,Finland,2019,20,weekly,993.0
5959,Finland,2019,21,weekly,927.0
5960,Finland,2019,22,weekly,919.0
5961,Finland,2019,23,weekly,1053.0
5962,Finland,2019,24,weekly,934.0
5963,Finland,2019,25,weekly,962.0
5964,Finland,2019,26,weekly,895.0
5965,Finland,2019,27,weekly,949.0
5966,Finland,2019,28,weekly,983.0
5967,Finland,2019,29,weekly,962.0
5968,Finland,2019,30,weekly,1022.0
5969,Finland,2019,31,weekly,922.0
5970,Finland,2019,32,weekly,958.0
5971,Finland,2019,33,weekly,923.0
5972,Finland,2019,34,weekly,992.0
5973,Finland,2019,35,weekly,966.0
5974,Finland,2019,36,weekly,986.0
5975,Finland,2019,37,weekly,990.0
5976,Finland,2019,38,weekly,1007.0
5977,Finland,2019,39,weekly,1047.0
5978,Finland,2019,40,weekly,1050.0
5979,Finland,2019,41,weekly,1090.0
5980,Finland,2019,42,weekly,1052.0
5981,Finland,2019,43,weekly,1081.0
5982,Finland,2019,44,weekly,1101.0
5983,Finland,2019,45,weekly,997.0
5984,Finland,2019,46,weekly,1014.0
5985,Finland,2019,47,weekly,970.0
5986,Finland,2019,48,weekly,1024.0
5987,Finland,2019,49,weekly,1097.0
5988,Finland,2019,50,weekly,1053.0
5989,Finland,2019,51,weekly,1105.0
5990,Finland,2019,52,weekly,1089.0
5991,Finland,2020,1,weekly,1047.0
5992,Finland,2020,2,weekly,1069.0
5993,Finland,2020,3,weekly,1061.0
5994,Finland,2020,4,weekly,1040.0
5995,Finland,2020,5,weekly,1074.0
5996,Finland,2020,6,weekly,1115.0
5997,Finland,2020,7,weekly,1098.0
5998,Finland,2020,8,weekly,1091.0
5999,Finland,2020,9,weekly,1050.0
6000,Finland,2020,10,weekly,1106.0
6001,Finland,2020,11,weekly,1105.0
6002,Finland,2020,12,weekly,1122.0
6003,Finland,2020,13,weekly,1108.0
6004,Finland,2020,14,weekly,1110.0
6005,Finland,2020,15,weekly,1181.0
6006,Finland,2020,16,weekly,1094.0
6007,Finland,2020,17,weekly,1142.0
6008,Finland,2020,18,weekly,1131.0
6009,Finland,2020,19,weekly,1074.0
6010,Finland,2020,20,weekly,1104.0
6011,Finland,2020,21,weekly,957.0
6012,Finland,2020,22,weekly,990.0
6013,Finland,2020,23,weekly,984.0
6014,Finland,2020,24,weekly,1003.0
6015,Finland,2020,25,weekly,1068.0
6016,Finland,2020,26,weekly,1021.0
6017,Finland,2020,27,weekly,996.0
6018,Finland,2020,28,weekly,944.0
6019,Finland,2020,29,weekly,1021.0
6020,Finland,2020,30,weekly,964.0
6021,Finland,2020,31,weekly,982.0
6022,Finland,2020,32,weekly,954.0
6023,Finland,2020,33,weekly,977.0
6024,Finland,2020,34,weekly,1016.0
6025,Finland,2020,35,weekly,989.0
6026,Finland,2020,36,weekly,979.0
6027,Finland,2020,37,weekly,1124.0
6028,Finland,2020,38,weekly,1046.0
6029,Finland,2020,39,weekly,1089.0
6030,Finland,2020,40,weekly,977.0
6031,Finland,2020,41,weekly,984.0
6032,Finland,2020,42,weekly,1074.0
6033,Finland,2020,43,weekly,1070.0
6034,Finland,2020,44,weekly,1132.0
6035,Finland,2020,45,weekly,1043.0
6036,Finland,2020,46,weekly,1025.0
6037,Finland,2020,47,weekly,1119.0
6038,Finland,2020,48,weekly,1108.0
6039,Finland,2020,49,weekly,1119.0
6040,Finland,2020,50,weekly,1106.0
6041,Finland,2020,51,weekly,1148.0
6042,Finland,2020,52,weekly,1129.0
6043,Finland,2020,53,weekly,1176.0
6044,Finland,2021,1,weekly,1104.0
6045,Finland,2021,2,weekly,1125.0
6046,Finland,2021,3,weekly,1206.0
6047,Finland,2021,4,weekly,1158.0
6048,Finland,2021,5,weekly,1103.0
6049,Finland,2021,6,weekly,1057.0
6050,Finland,2021,7,weekly,1159.0
6051,Finland,2021,8,weekly,1132.0
6052,Finland,2021,9,weekly,1091.0
6053,Finland,2021,10,weekly,1048.0
6054,Finland,2021,11,weekly,1090.0
6055,Finland,2021,12,weekly,1021.0
6056,Finland,2021,13,weekly,1050.0
6057,Finland,2021,14,weekly,1053.0
6058,Finland,2021,15,weekly,1033.0
6059,Finland,2021,16,weekly,1049.0
6060,Finland,2021,17,weekly,1007.0
6061,Finland,2021,18,weekly,1066.0
6062,Finland,2021,19,weekly,1113.0
6063,Finland,2021,20,weekly,1007.0
6064,Finland,2021,21,weekly,992.0
6065,Finland,2021,22,weekly,1008.0
6066,Finland,2021,23,weekly,978.0
6067,Finland,2021,24,weekly,1004.0
6068,Finland,2021,25,weekly,1078.0
6069,Finland,2021,26,weekly,1006.0
6070,Finland,2021,27,weekly,1082.0
6071,Finland,2021,28,weekly,1140.0
6072,Finland,2021,29,weekly,1006.0
6073,Finland,2021,30,weekly,1015.0
6074,Finland,2021,31,weekly,1044.0
6075,Finland,2021,32,weekly,1078.0
6076,Finland,2021,33,weekly,1057.0
6077,Finland,2021,34,weekly,1028.0
6078,Finland,2021,35,weekly,1018.0
6079,Finland,2021,36,weekly,1070.0
